supramarginal gyrus,inferior parietal lobule (krieg),anterior part of inferior parietal lobule,,gyrus supramarginalis,,,,,,,,,,,,,,,,,,,,,,,,
inferior parietal cortex,inferior parietal lobule,subparietal district,subparietal lobule,lobulus parietalis inferior,inferior parietal gyrus,inferior portion of parietal gyrus,,,,,,,,,,,,,,,,,,,,,,
dentate gyrus of hippocampal formation,area dentata,dentate gyrus,dentate area (dentate gyrus),fascia dentata,hippocampal dentate gyrus,gyrus dentatus,dentate area,,,,,,,,,,,,,,,,,,,,,
lentiform nucleus,nucleus lenticularis,nucleus lentiformis,lenticular nucleus,,,,,,,,,,,,,,,,,,,,,,,,,
perirhinal cortex of Burwell et al 1995,,perirhinal cortex,,,,,,,,,,,,,,,,,,,,,,,,,,
hippocampal field,hippocampus subdivision,subdivision of hippocampus,hippocampus region,hippocampal region,,,,,,,,,,,,,,,,,,,,,,,,
premotor cortex,premotor cortex (area 6),promotor cortex,secondary motor cortex,secondary motor areas,premotor area,secondary somatomotor areas,premotor region,nonprimary motor cortex,intermediate precentral cortex,premotor,,,,,,,,,,,,,,,,,,
white matter,white substance,white matter of neuraxis,CNS tract/commissure,neuronal white matter,substantia alba,CNS white matter,CNS tracts and commissures,,,,,,,,,,,,,,,,,,,,,
anterior nuclear group,anterior thalamic group,anterior nuclei of thalamus,nuclei anteriores (thalami),anterior nuclear group of thalamus,nuclei anteriores thalami,anterior nucleus of thalamus,anterior thalamic nuclei,nuclei anterior thalami,nuclei thalamicus anterior,anterior thalamus,nucleus thalamicus anterior,anterior group of the dorsal thalamus,anterior thalamic nucleus,anterior nuclear group of the thalamus,anterior thalamic nuclear group,nucleus anterior thalami,anterior group of thalamus,dorsal thalamus anterior division,rostral thalamic nucleus,,,,,,,,,
thalamic reticular nucleus,reticular thalamic nucleus,nucleus reticularis thalami,reticular nucleus-2,reticular nucleus of the thalamus,reticular nuclear group,reticular nucleus of thalamus,reticulatum thalami (Hassler),,nucleus thalamicus reticularis,nucleus reticulatus (thalami),nucleus reticularis,reticular nucleus thalamus (Arnold),nuclei reticulares (thalami),,,,,,,,,,,,,,,
ventral anterior nucleus of thalamus,,ventral anterior thalamic nucleus,nucleus ventralis anterior thalami,nucleus ventralis thalami anterior,ventral anterior nucleus,nucleus lateropolaris,ventroanterior nucleus of the thalamus,ventroanterior thalamic nucleus,,nucleus ventralis anterior,ventral anterior nucleus of the thalamus,,,,,,,,,,,,,,,,,
ventral lateral nucleus of thalamus,,nucleus ventralis thalami lateralis,nucleus ventralis intermedius,ventral lateral complex of thalamus,ventral lateral nucleus,nucleus ventralis lateralis thalami,lateral ventral nucleus of thalamus,nucleus ventrolateralis thalami,,nucleus ventralis lateralis,ventral lateral thalamic nuclei,ventrolateral thalamic nucleus,,ventral lateral thalamic nucleus,lateral ventral nuclei of thalamus,ventrolateral complex,ventral lateral nuclei of thalamus,nuclei ventrales laterales thalami,,,,,,,,,,
lateral dorsal nucleus,nucleus lateralis thalami dorsalis,lateral dorsal nucleus of thalamus,laterodorsal nucleus nucleus of thalamus,laterodorsal thalamic nucleus,lateral dorsal thalamic nucleus,nucleus dorsolateralis thalami,nucleus dorsalis lateralis thalami,nucleus dorsalis superficialis (hassler),nucleus lateralis dorsalis,nucleus lateralis dorsalis of thalamus,laterodorsal nucleus thalamic nucleus,"dorsal thalamus, lateral group","laterodorsal nucleus, superficial part",nucleus lateralis dorsalis thalami,"lateral group of nuclei, dorsal division",laterodorsal nucleus of the thalamus,lateral dorsal nucleus of the thalamus,,,,,,,,,,,
medial dorsal nucleus of thalamus,medial dorsal nucleus,medial thalamic nuclei,dorsomedial nucleus,nucleus medialis dorsalis,dorsomedial nuclear group,medial thalamic nucleus,medial nuclear group,mediodorsal nucleus,mediodorsal thalamic nucleus,dorsomedial nucleus of thalamus,mediodorsal nucleus of thalamus,dorsal medial nucleus of thalamus,,medial dorsal thalamic nucleus,medial nuclear group of thalamus,nucleus dorsomedialis thalami,medial thalamic nuclear group,nuclei mediales (thalami),mediodorsal nucleus of the thalamus,nucleus medialis dorsalis (Hassler),nucleus mediodorsalis thalami,dorsal thalamus medial division,medial group of the dorsal thalamus,nucleus thalamicus mediodorsalis,nucleus medialis dorsalis thalami,,,
centromedian nucleus of thalamus,,nucleus centrum medianum,centromedian thalamic nucleus,centromedian nucleus,centre median nucleus,nucleus centromedianus,nucleus centromedianus thalami,,central magnocellular nucleus of thalamus,nucleus centralis thalami (Hassler),noyau centre median of Luys,,centrum medianum thalami,centrum medianum,nucleus centri mediani thalami,nucleus centralis centralis,centromedial thalamic nucleus,,,,,,,,,,,
pars postrema of ventral lateral nucleus,,"nucleus ventralis lateralis thalami, pars postrema",nucleus lateralis intermedius mediodorsalis situs postremus,,ventral lateral nucleus (pars postrema),posterodorsal part of ventral lateral posterior nucleus (jones),nucleus dorsointermedius externus magnocellularis (hassler),pars postrema of the ventral lateral nucleus,"nucleus ventralis lateralis, pars postrema",ventrolateral posterior thalamic nucleus,ventrolateral preoptic nucleus,,,,,,,,,,,,,,,,,
paraventricular nucleus of thalamus,,paraventricular thalamic nucleus,nuclei paraventriculares thalami,paraventricular nuclei of thalamus,paraventricular gray,paraventricular nuclei,nucleus paraventricularis thalami,nucleus paramedianus (Hassler),paraventricular nucleus of the thalamus,,,,,,,,,,,,,,,,,,,
lateral posterior nucleus of thalamus,,nucleus lateralis posterior thalami,lateral posterior nucleus,nucleus lateralis posterior,nucleus dorsocaudalis (hassler),,nucleus lateralis thalami posterior,lateral posterior nucleus of the thalamus,lateral posterior thalamic nucleus,"laterodorsal nucleus, caudal part",nucleus dorso caudalis,posterior lateral nucleus of thalamus,lateral posterior complex,,,,,,,,,,,,,,,
pulvinar nucleus,pulvinar,pulvinar thalami,pulvinar nuclei,nuclei pulvinares,pulvinar thalamus,nucleus pulvinaris thalami,posterior nucleus (P),nucleus pulvinaris,,,,,,,,,,,,,,,,,,,,
